i,j,Longtitude,Latitude,Sealevel,UpCont,Code,Error
2979,2700,99.283333,0.016667,-32,-29.311079,108,100
2980,2700,99.316667,0.016667,-30,-27.899337,108,100
2981,2700,99.35,0.016667,-29,-26.288532,108,100
2982,2700,99.383333,0.016667,-27,-24.473472,108,100
2983,2700,99.416667,0.016667,-25,-22.348675,108,100
2984,2700,99.45,0.016667,-22,-19.8018,108,100
2985,2700,99.483333,0.016667,-19,-16.885525,108,100
2986,2700,99.516667,0.016667,-16,-13.694953,108,100
2987,2700,99.55,0.016667,-12,-10.19191,108,100
2988,2700,99.583333,0.016667,-7,-6.287533,108,100
2989,2700,99.616667,0.016667,-2,-2.011378,108,100
2990,2700,99.65,0.016667,3,2.485757,108,100
2991,2700,99.683333,0.016667,7,7.161017,108,100
2992,2700,99.716667,0.016667,13,12.049556,108,100
2993,2700,99.75,0.016667,19,17.070041,108,100
2994,2700,99.783333,0.016667,25,21.908318,108,100
2995,2700,99.816667,0.016667,30,26.146212,108,100
2996,2700,99.85,0.016667,34,29.535356,108,100
2997,2700,99.883333,0.016667,36,31.96259,108,100
2998,2700,99.916667,0.016667,38,33.351948,108,100
2999,2700,99.95,0.016667,37,33.701851,108,100
3000,2700,99.983333,0.016667,35,33.192258,108,100
3001,2700,100.016667,0.016667,33,32.266873,108,100
3002,2700,100.05,0.016667,31,31.460173,108,100
3003,2700,100.083333,0.016667,31,31.023557,108,100
3004,2700,100.116667,0.016667,31,30.863082,108,100
3005,2700,100.15,0.016667,31,30.807418,108,100
3006,2700,100.183333,0.016667,31,30.787065,108,100
3007,2700,100.216667,0.016667,31,30.800835,108,100
3008,2700,100.25,0.016667,31,30.835879,108,100
3009,2700,100.283333,0.016667,99999,30.883181,108,100
3010,2700,100.316667,0.016667,99999,30.989513,108,100
3011,2700,100.35,0.016667,99999,31.221187,108,100
3012,2700,100.383333,0.016667,99999,31.600031,108,100
3013,2700,100.416667,0.016667,99999,32.099769,108,100
3014,2700,100.45,0.016667,99999,32.684932,108,100
3015,2700,100.483333,0.016667,99999,33.334291,108,100
3016,2700,100.516667,0.016667,99999,34.015666,108,100
3017,2700,100.55,0.016667,99999,34.650725,108,100
3018,2700,100.583333,0.016667,99999,35.087551,108,100
2974,2699,99.116667,0.05,-39,-36.000249,888,-888
2975,2699,99.15,0.05,-36,-34.131655,108,100
2976,2699,99.183333,0.05,-34,-32.449261,108,100
2977,2699,99.216667,0.05,-33,-30.966521,108,100
2978,2699,99.25,0.05,-32,-29.620983,108,100
2979,2699,99.283333,0.05,-31,-28.291598,108,100
2980,2699,99.316667,0.05,-29,-26.868818,108,100
2981,2699,99.35,0.05,-28,-25.333556,108,100
2982,2699,99.383333,0.05,-27,-23.670927,108,100
2983,2699,99.416667,0.05,-25,-21.788074,108,100
2984,2699,99.45,0.05,-23,-19.568825,108,100
2985,2699,99.483333,0.05,-20,-16.975146,108,100
2986,2699,99.516667,0.05,-17,-14.038884,108,100
2987,2699,99.55,0.05,-14,-10.727581,108,100
2988,2699,99.583333,0.05,-10,-6.89998,108,100
2989,2699,99.616667,0.05,-4,-2.495889,108,100
2990,2699,99.65,0.05,2,2.313125,108,100
2991,2699,99.683333,0.05,7,7.318659,108,100
2992,2699,99.716667,0.05,13,12.475407,108,100
2993,2699,99.75,0.05,19,17.761138,108,100
2994,2699,99.783333,0.05,26,22.886965,108,100
2995,2699,99.816667,0.05,32,27.458192,108,100
2996,2699,99.85,0.05,36,31.25352,108,100
2997,2699,99.883333,0.05,39,34.157171,108,100
2998,2699,99.916667,0.05,41,36.08331,108,100
2999,2699,99.95,0.05,42,36.981436,108,100
3000,2699,99.983333,0.05,41,36.94025,108,100
3001,2699,100.016667,0.05,39,36.285334,108,100
3002,2699,100.05,0.05,38,35.449046,108,100
3003,2699,100.083333,0.05,36,34.699338,108,100
3004,2699,100.116667,0.05,36,34.085764,108,100
3005,2699,100.15,0.05,35,33.581403,108,100
3006,2699,100.183333,0.05,34,33.181226,108,100
3007,2699,100.216667,0.05,34,32.890401,108,100
3008,2699,100.25,0.05,34,32.689538,108,100
3009,2699,100.283333,0.05,99999,32.561471,108,100
3010,2699,100.316667,0.05,99999,32.536845,108,100
3011,2699,100.35,0.05,99999,32.667949,108,100
3012,2699,100.383333,0.05,99999,32.974478,108,100
3013,2699,100.416667,0.05,99999,33.432221,108,100
3014,2699,100.45,0.05,99999,33.995591,108,100
3015,2699,100.483333,0.05,99999,34.627596,108,100
3016,2699,100.516667,0.05,99999,35.280499,108,100
3017,2699,100.55,0.05,99999,35.870915,108,100
3018,2699,100.583333,0.05,99999,36.264974,108,100
2974,2698,99.116667,0.083333,-38,-35.186935,888,-888
2975,2698,99.15,0.083333,-36,-33.246062,108,100
2976,2698,99.183333,0.083333,-34,-31.509201,108,100
2977,2698,99.216667,0.083333,-32,-29.969173,108,100
2978,2698,99.25,0.083333,-31,-28.568842,108,100
2979,2698,99.283333,0.083333,-30,-27.203862,108,100
2980,2698,99.316667,0.083333,-28,-25.788955,108,100
2981,2698,99.35,0.083333,-27,-24.319625,108,100
2982,2698,99.383333,0.083333,-26,-22.779782,108,100
2983,2698,99.416667,0.083333,-25,-21.085054,108,100
2984,2698,99.45,0.083333,-23,-19.129951,108,100
2985,2698,99.483333,0.083333,-21,-16.847635,108,100
2986,2698,99.516667,0.083333,-18,-14.194679,108,100
2987,2698,99.55,0.083333,-15,-11.089928,108,100
2988,2698,99.583333,0.083333,-12,-7.369576,108,100
2989,2698,99.616667,0.083333,-6,-2.888455,108,100
2990,2698,99.65,0.083333,1,2.228843,108,100
2991,2698,99.683333,0.083333,8,7.652103,108,100
2992,2698,99.716667,0.083333,14,13.232438,108,100
2993,2698,99.75,0.083333,21,18.858603,108,100
2994,2698,99.783333,0.083333,27,24.25605,108,100
2995,2698,99.816667,0.083333,34,29.170452,108,100
2996,2698,99.85,0.083333,39,33.416383,108,100
2997,2698,99.883333,0.083333,43,36.855042,108,100
2998,2698,99.916667,0.083333,46,39.345368,108,100
2999,2698,99.95,0.083333,48,40.75389,108,100
3000,2698,99.983333,0.083333,47,41.07519,108,100
3001,2698,100.016667,0.083333,46,40.548251,108,100
3002,2698,100.05,0.083333,44,39.568568,108,100
3003,2698,100.083333,0.083333,42,38.45879,108,100
3004,2698,100.116667,0.083333,40,37.382444,108,100
3005,2698,100.15,0.083333,39,36.419631,108,100
3006,2698,100.183333,0.083333,37,35.625843,108,100
3007,2698,100.216667,0.083333,36,35.019637,108,100
3008,2698,100.25,0.083333,99999,34.577827,108,100
3009,2698,100.283333,0.083333,99999,34.27808,108,100
3010,2698,100.316667,0.083333,99999,34.130013,108,100
3011,2698,100.35,0.083333,99999,34.158807,108,100
3012,2698,100.383333,0.083333,99999,34.367345,108,100
3013,2698,100.416667,0.083333,99999,34.73208,108,100
3014,2698,100.45,0.083333,99999,35.210487,108,100
3015,2698,100.483333,0.083333,99999,35.752768,108,100
3016,2698,100.516667,0.083333,99999,36.297648,108,100
3017,2698,100.55,0.083333,99999,36.753921,108,100
3018,2698,100.583333,0.083333,99999,37.011751,108,100
2974,2697,99.116667,0.116667,-37,-34.134015,888,-888
2975,2697,99.15,0.116667,-35,-32.181506,108,100
2976,2697,99.183333,0.116667,-33,-30.393431,108,100
2977,2697,99.216667,0.116667,-31,-28.781098,108,100
2978,2697,99.25,0.116667,-30,-27.328434,108,100
2979,2697,99.283333,0.116667,-29,-25.953922,108,100
2980,2697,99.316667,0.116667,-27,-24.579622,108,100
2981,2697,99.35,0.116667,-26,-23.183521,108,100
2982,2697,99.383333,0.116667,-25,-21.735513,108,100
2983,2697,99.416667,0.116667,-24,-20.161896,108,100
2984,2697,99.45,0.116667,-22,-18.377012,108,100
2985,2697,99.483333,0.116667,-21,-16.323444,108,100
2986,2697,99.516667,0.116667,-19,-13.92132,108,100
2987,2697,99.55,0.116667,-16,-11.020032,108,100
2988,2697,99.583333,0.116667,-13,-7.398578,108,100
2989,2697,99.616667,0.116667,-8,-2.847616,108,100
2990,2697,99.65,0.116667,0,2.503923,108,100
2991,2697,99.683333,0.116667,8,8.282143,108,100
2992,2697,99.716667,0.116667,15,14.281284,108,100
2993,2697,99.75,0.116667,23,20.249261,108,100
2994,2697,99.783333,0.116667,30,25.907476,108,100
2995,2697,99.816667,0.116667,36,31.131028,108,100
2996,2697,99.85,0.116667,42,35.792663,108,100
2997,2697,99.883333,0.116667,47,39.739921,108,100
2998,2697,99.916667,0.116667,51,42.765594,108,100
2999,2697,99.95,0.116667,54,44.626109,108,100
3000,2697,99.983333,0.116667,54,45.197798,108,100
3001,2697,100.016667,0.116667,52,44.656286,108,100
3002,2697,100.05,0.116667,50,43.433304,108,100
3003,2697,100.083333,0.116667,47,41.950477,108,100
3004,2697,100.116667,0.116667,44,40.456033,108,100
3005,2697,100.15,0.116667,42,39.085438,108,100
3006,2697,100.183333,0.116667,40,37.934966,108,100
3007,2697,100.216667,0.116667,39,37.041374,108,100
3008,2697,100.25,0.116667,99999,36.372677,108,100
3009,2697,100.283333,0.116667,99999,35.895795,108,100
3010,2697,100.316667,0.116667,99999,35.611441,108,100
3011,2697,100.35,0.116667,99999,35.522389,108,100
3012,2697,100.383333,0.116667,99999,35.607552,108,100
3013,2697,100.416667,0.116667,99999,35.841809,108,100
3014,2697,100.45,0.116667,99999,36.194369,108,100
3015,2697,100.483333,0.116667,99999,36.609918,108,100
3016,2697,100.516667,0.116667,99999,37.012134,108,100
3017,2697,100.55,0.116667,99999,37.306134,108,100
3018,2697,100.583333,0.116667,99999,37.396285,108,100
